"player_id","year","stint","team_id","league_id","g","ab","r","h","double","triple","hr","rbi","sb","cs","bb","so","ibb","hbp","sh","sf","g_idp","salary"
"cainma01",2009,1,"SFN","NL",33,60.0,2.0,9.0,2.0,1.0,0.0,3.0,0.0,0.0,4.0,31.0,0.0,0.0,9.0,0.0,0.0,2900000
"cairomi01",2009,1,"PHI","NL",27,45.0,6.0,12.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,1.0,500000
"calerki01",2009,1,"FLO","NL",67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500000
"callaal01",2009,1,"KCA","AL",155,576.0,79.0,173.0,41.0,8.0,11.0,73.0,2.0,1.0,52.0,51.0,4.0,1.0,0.0,5.0,15.0,415500
"camermi01",2009,1,"MIL","NL",149,544.0,78.0,136.0,32.0,3.0,24.0,70.0,7.0,3.0,75.0,156.0,3.0,4.0,0.0,5.0,12.0,10000000
"campijo01",2009,1,"ATL","NL",5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420000
"campsh01",2009,1,"TOR","AL",59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750000
"canoro01",2009,1,"NYA","AL",161,637.0,103.0,204.0,48.0,2.0,25.0,85.0,5.0,7.0,30.0,63.0,2.0,3.0,0.0,4.0,22.0,6000000
"cantujo01",2009,1,"FLO","NL",149,585.0,67.0,169.0,42.0,0.0,16.0,100.0,3.0,1.0,47.0,81.0,4.0,6.0,0.0,5.0,15.0,3500000
"cappsma01",2009,1,"PIT","NL",57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2425000
"carlsje01",2009,1,"TOR","AL",73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408700
"carlybu01",2009,1,"ATL","NL",17,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,425000
"carmofa01",2009,1,"CLE","AL",24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2937500
"carpech01",2009,1,"SLN","NL",28,63.0,3.0,11.0,3.0,0.0,1.0,7.0,0.0,0.0,2.0,13.0,0.0,1.0,3.0,0.0,1.0,13302583
"carradj01",2009,1,"CHA","AL",49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440000
"carrobr01",2009,1,"FLO","NL",92,141.0,18.0,33.0,8.0,2.0,3.0,18.0,0.0,0.0,11.0,33.0,1.0,4.0,1.0,1.0,2.0,400000
"carroja01",2009,1,"CLE","AL",93,315.0,53.0,87.0,10.0,2.0,2.0,26.0,4.0,2.0,36.0,63.0,0.0,3.0,3.0,1.0,8.0,2500000
"cartech01",2009,1,"BOS","AL",4,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,400000
"casilal01",2009,1,"MIN","AL",80,228.0,25.0,46.0,7.0,3.0,0.0,17.0,11.0,0.0,22.0,36.0,0.0,3.0,2.0,1.0,6.0,427500
"castilu01",2009,1,"NYN","NL",142,486.0,77.0,147.0,12.0,3.0,1.0,40.0,20.0,6.0,69.0,58.0,3.0,1.0,19.0,5.0,15.0,6250000
"castrra01",2009,1,"NYN","NL",26,79.0,5.0,20.0,5.0,0.0,3.0,13.0,0.0,0.0,8.0,16.0,1.0,0.0,0.0,0.0,3.0,2625000
"cedenro02",2009,1,"SEA","AL",59,186.0,15.0,31.0,4.0,2.0,5.0,17.0,3.0,2.0,10.0,50.0,1.0,1.0,9.0,0.0,6.0,822500
"chambjo03",2009,1,"NYA","AL",32,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,432575
"chaveen01",2009,1,"SEA","AL",54,161.0,17.0,44.0,3.0,1.0,2.0,13.0,9.0,1.0,14.0,22.0,1.0,0.0,5.0,2.0,4.0,2050000
"chaveer01",2009,1,"OAK","AL",8,30.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,11500000
"chaveje01",2009,1,"PIT","NL",73,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,402000
"choosh01",2009,1,"CLE","AL",156,583.0,87.0,175.0,38.0,6.0,20.0,86.0,21.0,2.0,78.0,151.0,5.0,17.0,0.0,7.0,9.0,420300
"churcry01",2009,1,"NYN","NL",67,232.0,26.0,65.0,16.0,0.0,2.0,22.0,6.0,2.0,17.0,36.0,4.0,2.0,2.0,2.0,7.0,2800000
"clarkto02",2009,1,"ARI","NL",36,66.0,7.0,12.0,4.0,0.0,4.0,11.0,0.0,0.0,11.0,24.0,0.0,0.0,0.0,1.0,3.0,800000
"coffeto01",2009,1,"MIL","NL",78,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,800002
"cokeph01",2009,1,"NYA","AL",72,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,403300
"colonba01",2009,1,"CHA","AL",12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000
"condrcl01",2009,1,"PHI","NL",45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,650000
"contrjo01",2009,1,"CHA","AL",21,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,10000000
"cookaa01",2009,1,"COL","NL",28,44.0,3.0,5.0,1.0,0.0,0.0,6.0,0.0,0.0,7.0,14.0,0.0,1.0,5.0,1.0,0.0,9375000
"coraal01",2009,1,"NYN","NL",82,271.0,31.0,68.0,11.0,1.0,1.0,18.0,8.0,3.0,25.0,28.0,1.0,3.0,8.0,1.0,2.0,2000000
"corcoro01",2009,1,"SEA","AL",16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,413000
"cordefr01",2009,1,"CIN","NL",68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12125000
"cormila01",2009,1,"TBA","AL",53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,675000
"corpama01",2009,1,"COL","NL",35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750000
"correke01",2009,1,"SDN","NL",37,55.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,21.0,0.0,0.0,11.0,0.0,1.0,750000
"costech01",2009,1,"PHI","NL",45,102.0,12.0,25.0,8.0,0.0,2.0,8.0,0.0,0.0,14.0,27.0,1.0,1.0,1.0,0.0,2.0,460000
"cottsne01",2009,1,"CHN","NL",19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100000
"counscr01",2009,1,"MIL","NL",130,404.0,61.0,115.0,22.0,8.0,4.0,39.0,3.0,4.0,42.0,54.0,0.0,6.0,3.0,4.0,12.0,1000000
"crainje01",2009,1,"MIN","AL",56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700000
"crawfca02",2009,1,"TBA","AL",156,606.0,96.0,185.0,28.0,8.0,15.0,68.0,60.0,16.0,51.0,99.0,1.0,8.0,2.0,5.0,7.0,8250000
