,year,g,ab,r,h,double,triple,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,g_idp,salary,single,slg %,obp,batting avg,ops,tb,rc,babip,pa,xbh,iso,bb/pa,so/pa,high_paid_y,high_paid_n
53,0,33,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,437500,0,0.0,0.0,0.0,0.0,0,0.0,0.0,2,0,0.0,0.0,0.5,1,0
55,0,136,460,73,126,31,1,25,80,7,4,97,98,14,1,0,4,13,14500000,69,0.508695652173913,0.398576512455516,0.27391304347826084,0.9072721646294291,234,93.68402154398564,0.2961876832844575,562,57,33.16304347826087,0.17259786476868327,0.17437722419928825,0,1
57,0,63,224,15,56,10,1,2,22,3,1,10,18,0,0,8,3,9,2300000,43,0.33035714285714285,0.27848101265822783,0.25,0.6088381555153707,74,20.871794871794872,0.2608695652173913,245,13,12.026785714285714,0.04081632653061224,0.07346938775510205,0,1
58,0,20,45,2,9,5,0,0,3,0,0,5,13,0,0,0,0,2,1300000,4,0.3111111111111111,0.28,0.2,0.5911111111111111,14,3.92,0.28125,50,5,5.0,0.1,0.26,1,0
59,0,33,56,2,10,2,0,1,4,0,0,4,24,0,0,7,0,1,475000,7,0.26785714285714285,0.23333333333333334,0.17857142857142858,0.5011904761904762,15,3.5,0.2903225806451613,67,3,2.0535714285714284,0.05970149253731343,0.3582089552238806,1,0
60,0,33,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,440000,0,0.0,0.0,0.0,0.0,0,0.0,0.0,4,0,0.0,0.0,0.5,1,0
61,0,139,485,84,136,25,6,18,79,3,4,63,116,8,6,1,10,12,5000000,87,0.46804123711340206,0.36347517730496454,0.2804123711340206,0.8315164144183667,227,82.43248175182482,0.3268698060941828,565,49,37.11134020618557,0.11150442477876106,0.20530973451327433,0,1
62,0,123,462,62,108,21,4,25,66,2,0,26,108,2,3,0,4,6,6200000,58,0.4588744588744589,0.2767676767676768,0.23376623376623376,0.7356421356421357,212,58.21311475409836,0.24924924924924924,495,50,29.162337662337663,0.052525252525252523,0.21818181818181817,0,1
63,0,67,204,21,48,12,0,6,16,0,0,26,50,2,0,1,1,5,750000,30,0.38235294117647056,0.3203463203463203,0.23529411764705882,0.7026992615227909,78,25.095652173913045,0.28187919463087246,232,18,12.088235294117647,0.11206896551724138,0.21551724137931033,1,0
64,0,31,55,4,7,0,0,0,1,0,0,4,21,0,1,9,0,0,5475000,7,0.12727272727272726,0.2,0.12727272727272726,0.32727272727272727,7,1.305084745762712,0.20588235294117646,69,0,0.0,0.057971014492753624,0.30434782608695654,0,1
