,year,team_id,g,ab,r,h,double,triple,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,g_idp,salary,single,slg %,obp,batting avg,ops,tb,rc,babip,pa
41,2009,TBA,137,500.0,90.0,160.0,29.0,7.0,14.0,66.0,30.0,7.0,54.0,89.0,2.0,5.0,4.0,4.0,5.0,1981250,110.0,0.49,0.38898756660746003,0.32,0.87898756660746,245.0,94.63898916967509,0.3640897755610973,567.0
42,2009,BAL,48,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,405000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0
43,2009,SEA,56,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0
44,2009,TOR,113,336.0,54.0,79.0,13.0,3.0,13.0,40.0,4.0,0.0,56.0,85.0,1.0,4.0,6.0,2.0,9.0,2400000,50.0,0.40773809523809523,0.3492462311557789,0.23511904761904762,0.7569843263938741,137.0,47.18112244897959,0.275,404.0
45,2009,BOS,151,531.0,103.0,142.0,29.0,3.0,36.0,119.0,13.0,3.0,94.0,162.0,4.0,9.0,0.0,4.0,9.0,7800000,74.0,0.536723163841808,0.384012539184953,0.2674199623352166,0.9207357030267609,285.0,107.616,0.314540059347181,638.0
46,2009,BOS,32,5.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,11166666,0.0,0.8,0.2,0.2,1.0,4.0,0.8,0.0,5.0
47,2009,SEA,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7750000,0.0,,,,,0.0,,,0.0
48,2009,WAS,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000,0.0,,,,,0.0,,,0.0
49,2009,SDN,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1255000,0.0,,,,,0.0,,,1.0
50,2009,WAS,86,187.0,26.0,46.0,7.0,1.0,5.0,22.0,2.0,0.0,14.0,40.0,0.0,0.0,1.0,2.0,7.0,1900000,33.0,0.37433155080213903,0.2955665024630542,0.24598930481283424,0.6698980532651932,70.0,20.895522388059703,0.2847222222222222,204.0
51,2009,SEA,111,449.0,54.0,119.0,27.0,0.0,8.0,44.0,13.0,2.0,19.0,74.0,1.0,7.0,0.0,2.0,19.0,13400000,84.0,0.37861915367483295,0.3039832285115304,0.2650334075723831,0.6826023821863634,170.0,50.12820512820513,0.3008130081300813,477.0
52,2009,NYN,81,308.0,50.0,100.0,22.0,1.0,10.0,48.0,11.0,1.0,47.0,43.0,10.0,1.0,0.0,1.0,9.0,19243682,67.0,0.5,0.41456582633053224,0.3246753246753247,0.9145658263305323,154.0,63.76901408450704,0.3515625,357.0
53,2009,ATL,33,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,437500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
54,2009,TEX,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750000,0.0,,,,,0.0,,,0.0
55,2009,HOU,136,460.0,73.0,126.0,31.0,1.0,25.0,80.0,7.0,4.0,97.0,98.0,14.0,1.0,0.0,4.0,13.0,14500000,69.0,0.508695652173913,0.398576512455516,0.27391304347826084,0.9072721646294291,234.0,93.68402154398564,0.2961876832844575,562.0
56,2009,CLE,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3350000,0.0,,,,,0.0,,,0.0
57,2009,SEA,63,224.0,15.0,56.0,10.0,1.0,2.0,22.0,3.0,1.0,10.0,18.0,0.0,0.0,8.0,3.0,9.0,2300000,43.0,0.33035714285714285,0.27848101265822783,0.25,0.6088381555153707,74.0,20.871794871794872,0.2608695652173913,245.0
58,2009,CHA,20,45.0,2.0,9.0,5.0,0.0,0.0,3.0,0.0,0.0,5.0,13.0,0.0,0.0,0.0,0.0,2.0,1300000,4.0,0.3111111111111111,0.28,0.2,0.5911111111111111,14.0,3.92,0.28125,50.0
59,2009,LAN,33,56.0,2.0,10.0,2.0,0.0,1.0,4.0,0.0,0.0,4.0,24.0,0.0,0.0,7.0,0.0,1.0,475000,7.0,0.26785714285714285,0.23333333333333334,0.17857142857142858,0.5011904761904762,15.0,3.5,0.2903225806451613,67.0
60,2009,MIN,33,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,440000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
61,2009,LAN,139,485.0,84.0,136.0,25.0,6.0,18.0,79.0,3.0,4.0,63.0,116.0,8.0,6.0,1.0,10.0,12.0,5000000,87.0,0.46804123711340206,0.36347517730496454,0.2804123711340206,0.8315164144183667,227.0,82.43248175182482,0.3268698060941828,565.0
62,2009,TEX,123,462.0,62.0,108.0,21.0,4.0,25.0,66.0,2.0,0.0,26.0,108.0,2.0,3.0,0.0,4.0,6.0,6200000,58.0,0.4588744588744589,0.2767676767676768,0.23376623376623376,0.7356421356421357,212.0,58.21311475409836,0.24924924924924924,495.0
63,2009,SDN,67,204.0,21.0,48.0,12.0,0.0,6.0,16.0,0.0,0.0,26.0,50.0,2.0,0.0,1.0,1.0,5.0,750000,30.0,0.38235294117647056,0.3203463203463203,0.23529411764705882,0.7026992615227909,78.0,25.095652173913045,0.28187919463087246,232.0
64,2009,PHI,31,55.0,4.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,21.0,0.0,1.0,9.0,0.0,0.0,5475000,7.0,0.12727272727272726,0.2,0.12727272727272726,0.32727272727272727,7.0,1.305084745762712,0.20588235294117646,69.0
65,2009,OAK,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,405000,0.0,,,,,0.0,,,0.0
66,2009,KCA,125,434.0,52.0,115.0,11.0,8.0,4.0,29.0,25.0,6.0,27.0,73.0,1.0,1.0,4.0,2.0,7.0,1400000,92.0,0.3548387096774194,0.3081896551724138,0.26497695852534564,0.6630283648498332,154.0,47.43600867678959,0.30919220055710306,468.0
67,2009,HOU,120,381.0,34.0,94.0,14.0,1.0,10.0,49.0,0.0,1.0,33.0,61.0,4.0,7.0,0.0,6.0,9.0,1250000,69.0,0.3674540682414698,0.31381733021077285,0.24671916010498687,0.6812713984522427,140.0,42.94685990338164,0.26582278481012656,427.0
68,2009,DET,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12500000,0.0,,,,,0.0,,,0.0
69,2009,FLO,127,461.0,72.0,116.0,11.0,6.0,1.0,27.0,21.0,9.0,34.0,95.0,0.0,2.0,8.0,4.0,5.0,400000,98.0,0.3080260303687636,0.3033932135728543,0.25162689804772237,0.611419243941618,142.0,43.03030303030303,0.3116531165311653,509.0
70,2009,DET,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400000,0.0,,,,,0.0,,,0.0
