"player_id","year","stint","team_id","league_id","g","ab","r","h","double","triple","hr","rbi","sb","cs","bb","so","ibb","hbp","sh","sf","g_idp"
"badenbu01",2009,1,"FLO","NL",35,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0
"baezda01",2009,1,"BAL","AL",59,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"bailean01",2009,1,"OAK","AL",68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"baileho02",2009,1,"CIN","NL",22,38.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,17.0,0.0,0.0,5.0,0.0,1.0
"baileje01",2009,1,"BOS","AL",26,77.0,14.0,16.0,3.0,2.0,3.0,9.0,0.0,0.0,10.0,21.0,0.0,4.0,0.0,0.0,5.0
"bakerje03",2009,1,"COL","NL",12,23.0,0.0,3.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,3.0
"bakerje03",2009,2,"CHN","NL",69,203.0,27.0,62.0,15.0,1.0,4.0,21.0,0.0,0.0,17.0,46.0,0.0,2.0,0.0,2.0,5.0
"bakerjo01",2009,1,"FLO","NL",112,373.0,59.0,101.0,25.0,0.0,9.0,50.0,0.0,0.0,41.0,89.0,5.0,5.0,2.0,2.0,10.0
"bakersc02",2009,1,"MIN","AL",33,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"bakopa01",2009,1,"PHI","NL",44,116.0,12.0,26.0,4.0,0.0,3.0,9.0,0.0,1.0,13.0,32.0,2.0,1.0,0.0,0.0,2.0
"baldero01",2009,1,"BOS","AL",62,150.0,23.0,38.0,4.0,1.0,7.0,23.0,1.0,0.0,11.0,37.0,0.0,2.0,0.0,1.0,6.0
"balejo01",2009,1,"KCA","AL",43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"balenwl01",2009,1,"SEA","AL",56,155.0,18.0,33.0,10.0,0.0,4.0,13.0,1.0,0.0,13.0,43.0,1.0,0.0,0.0,2.0,2.0
"balenwl01",2009,2,"CIN","NL",40,110.0,12.0,29.0,7.0,1.0,3.0,11.0,1.0,1.0,15.0,27.0,0.0,0.0,0.0,0.0,1.0
"balesco01",2009,1,"WAS","NL",7,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0
"balfogr01",2009,1,"TBA","AL",73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"banksjo01",2009,1,"SDN","NL",6,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
"bannibr01",2009,1,"KCA","AL",26,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0
"barajro01",2009,1,"TOR","AL",125,429.0,43.0,97.0,19.0,0.0,19.0,71.0,1.0,0.0,20.0,76.0,2.0,1.0,3.0,7.0,4.0
"bardda01",2009,1,"BOS","AL",49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"bardebr01",2009,1,"SLN","NL",52,103.0,13.0,24.0,3.0,0.0,4.0,10.0,0.0,0.0,6.0,21.0,0.0,2.0,2.0,1.0,3.0
"bardjo01",2009,1,"WAS","NL",90,274.0,20.0,63.0,18.0,0.0,6.0,31.0,0.0,1.0,24.0,50.0,1.0,1.0,1.0,1.0,5.0
"barfijo02",2009,1,"CLE","AL",17,20.0,5.0,8.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
"barkeke01",2009,1,"CIN","NL",29,32.0,2.0,9.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,9.0,1.0,0.0,0.0,1.0,2.0
"barmecl01",2009,1,"COL","NL",154,550.0,69.0,135.0,32.0,3.0,23.0,76.0,12.0,10.0,31.0,121.0,2.0,10.0,6.0,7.0,6.0
"barremi01",2009,1,"TOR","AL",7,18.0,3.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0
"bartlja01",2009,1,"TBA","AL",137,500.0,90.0,160.0,29.0,7.0,14.0,66.0,30.0,7.0,54.0,89.0,2.0,5.0,4.0,4.0,5.0
"bartobr01",2009,1,"ATL","NL",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"bartoda02",2009,1,"OAK","AL",54,160.0,31.0,43.0,12.0,1.0,3.0,24.0,0.0,2.0,26.0,25.0,0.0,2.0,1.0,3.0,1.0
"bassbr01",2009,1,"BAL","AL",48,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"bastaan01",2009,1,"PHI","NL",6,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0
"batesaa01",2009,1,"BOS","AL",5,11.0,2.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0
"batismi01",2009,1,"SEA","AL",56,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"bautide01",2009,1,"PIT","NL",14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"bautijo02",2009,1,"TOR","AL",113,336.0,54.0,79.0,13.0,3.0,13.0,40.0,4.0,0.0,56.0,85.0,1.0,4.0,6.0,2.0,9.0
"bayja01",2009,1,"BOS","AL",151,531.0,103.0,142.0,29.0,3.0,36.0,119.0,13.0,3.0,94.0,162.0,4.0,9.0,0.0,4.0,9.0
"bazaryo01",2009,1,"HOU","NL",10,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
